epoch,test_loss,test_acc
1,2.867016220704103,9.945913461538462
2,4.334671185566829,9.915865384615385
3,6.068928660490574,9.975961538461538
4,5.390976908879402,9.955929487179487
5,5.565496249076648,9.945913461538462
6,4.897334875204624,9.945913461538462
7,5.4915955036114426,10.096153846153847
8,5.188573122024536,10.06610576923077
9,5.439714969732822,10.056089743589743
10,5.6483947069216995,9.865785256410257
11,5.69320167027987,9.895833333333334
12,5.938551743825276,9.875801282051283
13,5.640219364410791,9.955929487179487
14,6.589397473213,9.955929487179487
15,6.524085595057561,9.945913461538462
16,6.1689503743098335,9.945913461538462
17,7.009211723621075,9.935897435897436
18,6.826171068044809,10.106169871794872
19,7.415197066771678,10.096153846153847
20,6.779906242321699,10.046073717948717
21,7.22192505078438,9.875801282051283
22,7.818467341936552,9.845753205128204
23,7.260724434485803,9.865785256410257
24,8.242031696515205,9.915865384615385
25,8.732167078898502,9.92588141025641
26,7.5433247333917866,9.965945512820513
27,8.016051934315609,9.985977564102564
28,7.9764997103275395,10.036057692307692
29,7.740162360362517,10.056089743589743
30,7.8999095146472635,10.046073717948717
31,8.336108079323402,10.026041666666666
32,8.452913608306494,9.895833333333334
33,8.172195593516031,9.935897435897436
34,8.492202379764654,9.955929487179487
35,8.65818740771367,9.965945512820513
36,8.760156087386303,9.965945512820513
37,9.200716403814463,10.006009615384615
38,10.423384146812635,9.90584935897436
39,9.758786011964848,10.086137820512821
40,10.04223601023356,10.086137820512821
41,9.3811295460432,10.06610576923077
42,9.803458727323092,10.116185897435898
43,9.656170777785473,9.90584935897436
44,10.0256637548789,9.85576923076923
45,10.017802122311714,9.92588141025641
46,10.131813844045004,9.945913461538462
47,10.22514820098877,9.955929487179487
48,10.283129796003683,9.975961538461538
49,10.444052702341324,9.965945512820513
50,11.106956231288422,10.076121794871796
51,11.049362806173471,10.096153846153847
52,11.089329756223238,10.036057692307692
53,11.315660965748322,10.096153846153847
54,12.89542741041917,10.076121794871796
55,12.299148535117125,10.056089743589743
56,11.749146975003756,9.99599358974359
57,11.955527403415777,9.985977564102564
58,11.902898458334116,9.945913461538462
59,12.051571882688082,9.955929487179487
60,11.897776615925324,9.945913461538462
61,13.062507250370123,9.685496794871796
62,13.020585072346222,9.845753205128204
63,12.577549592042581,10.046073717948717
64,12.58466856296246,10.036057692307692
65,12.331633213238838,10.036057692307692
66,12.746705886645195,10.046073717948717
67,12.871280034383139,9.805689102564102
68,13.640874373607147,9.835737179487179
69,13.26425059636434,9.875801282051283
70,13.152167931581156,9.915865384615385
71,14.194180231827955,9.725560897435898
72,13.400612207559439,10.056089743589743
73,13.958655993143717,10.056089743589743
74,15.22817579905192,10.046073717948717
75,14.119820778186504,10.046073717948717
76,13.989435868385511,10.046073717948717
77,15.238015981820913,9.835737179487179
78,13.770574948726557,10.036057692307692
79,14.069604812524258,10.056089743589743
80,13.970414332854443,10.036057692307692
81,14.3142947661571,10.056089743589743
82,14.137102995163355,10.056089743589743
83,14.00364264463767,10.056089743589743
84,13.993414866618622,10.046073717948717
85,14.086624047695063,10.046073717948717
86,14.115779008620825,10.046073717948717
87,15.284409070626284,10.046073717948717
88,14.334957660772861,10.036057692307692
89,14.377495239942501,10.06610576923077
90,14.277209184108637,10.056089743589743
91,15.327531790122007,10.036057692307692
92,14.796754323519194,10.086137820512821
93,14.360365305191431,10.056089743589743
94,14.843656478784023,10.076121794871796
95,14.224367276216165,10.046073717948717
96,14.320830711951622,10.056089743589743
97,15.206669562902206,10.056089743589743
98,14.925683363890036,10.076121794871796
99,14.948277864700708,10.086137820512821
100,14.735074532337677,10.076121794871796
